fighter_1,fighter_2,result,weight_class,method,round,time,fight_link,event_url
Dustin Jacoby,Maxim Grishin,win,Light Heavyweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/bc86601cf781a89c,http://ufcstats.com/event-details/81b57acd6975ac06
Derrick Lewis,Curtis Blaydes,win,Heavyweight,KO/TKO Punch,2,1:26,http://ufcstats.com/fight-details/b12bc15f384ecc42,http://ufcstats.com/event-details/bfe95ec546692b13
Yana Santos,Ketlen Vieira,win,Women's Bantamweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/a4814d682954e8ab,http://ufcstats.com/event-details/bfe95ec546692b13
Darrick Minner,Charles Rosa,win,Featherweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/82243207b4dfce87,http://ufcstats.com/event-details/bfe95ec546692b13
Chris Daukaus,Aleksei Oleinik,win,Heavyweight,KO/TKO Punches,1,1:55,http://ufcstats.com/fight-details/8f7328fe18806fb0,http://ufcstats.com/event-details/bfe95ec546692b13
Phil Hawes,Nassourdine Imavov,win,Middleweight,M-DEC,3,5:00,http://ufcstats.com/fight-details/05ceb8b2f93993a6,http://ufcstats.com/event-details/bfe95ec546692b13
Tom Aspinall,Andrei Arlovski,win,Heavyweight,SUB Rear Naked Choke,2,1:09,http://ufcstats.com/fight-details/15b1c7ddc4415fdd,http://ufcstats.com/event-details/bfe95ec546692b13
Jared Gordon,Danny Chavez,win,Featherweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/931fd51ab69fb443,http://ufcstats.com/event-details/bfe95ec546692b13
John Castaneda,Eddie Wineland,win,Bantamweight,KO/TKO Punches,1,4:44,http://ufcstats.com/fight-details/990c2378caec68d4,http://ufcstats.com/event-details/bfe95ec546692b13
Julian Erosa,Nate Landwehr,win,Featherweight,KO/TKO Flying Knee,1,0:56,http://ufcstats.com/fight-details/e175c1a0bff30187,http://ufcstats.com/event-details/bfe95ec546692b13
Casey O'Neill,Shana Dobson,win,Women's Flyweight,KO/TKO Punches,2,3:41,http://ufcstats.com/fight-details/1d892fec31dc7ad7,http://ufcstats.com/event-details/bfe95ec546692b13
Aiemann Zahabi,Drako Rodriguez,win,Bantamweight,KO/TKO Punch,1,3:05,http://ufcstats.com/fight-details/b9cd4910f0ecff45,http://ufcstats.com/event-details/bfe95ec546692b13
Serghei Spivac,Jared Vanderaa,win,Heavyweight,KO/TKO Punches,2,4:32,http://ufcstats.com/fight-details/c3b6aa47e7532a7b,http://ufcstats.com/event-details/bfe95ec546692b13
Kamaru Usman,Gilbert Burns,win,Welterweight,KO/TKO Punches,3,0:34,http://ufcstats.com/fight-details/be94e5b7a35ce5f2,http://ufcstats.com/event-details/3f7c14c7eca7195d
Alexa Grasso,Maycee Barber,win,Women's Flyweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/25b8c932da5e91f4,http://ufcstats.com/event-details/3f7c14c7eca7195d
Kelvin Gastelum,Ian Heinisch,win,Middleweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/26fbf026beb8e9f8,http://ufcstats.com/event-details/3f7c14c7eca7195d
Ricky Simon,Brian Kelleher,win,Featherweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/54e2490959f66dc2,http://ufcstats.com/event-details/3f7c14c7eca7195d
Julian Marquez,Maki Pitolo,win,Middleweight,SUB Anaconda Choke,3,4:17,http://ufcstats.com/fight-details/9201312dd860fa5a,http://ufcstats.com/event-details/3f7c14c7eca7195d
Anthony Hernandez,Rodolfo Vieira,win,Middleweight,SUB Guillotine Choke,2,1:53,http://ufcstats.com/fight-details/96b1430379c0694a,http://ufcstats.com/event-details/3f7c14c7eca7195d
Belal Muhammad,Dhiego Lima,win,Welterweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/8cf076524cad5a55,http://ufcstats.com/event-details/3f7c14c7eca7195d
Polyana Viana,Mallory Martin,win,Women's Strawweight,SUB Armbar,1,3:18,http://ufcstats.com/fight-details/17616514e8fdacb9,http://ufcstats.com/event-details/3f7c14c7eca7195d
Chris Gutierrez,Andre Ewell,win,Catch Weight,U-DEC,3,5:00,http://ufcstats.com/fight-details/f98e954823bd6e02,http://ufcstats.com/event-details/3f7c14c7eca7195d
Gabe Green,Phil Rowe,win,Welterweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/357c5b86ec83b826,http://ufcstats.com/event-details/3f7c14c7eca7195d
Alexander Volkov,Alistair Overeem,win,Heavyweight,KO/TKO Punch,2,2:06,http://ufcstats.com/fight-details/8b9bdacca749ec90,http://ufcstats.com/event-details/a1153013cb5f628f
Cory Sandhagen,Frankie Edgar,win,Bantamweight,KO/TKO Flying Knee,1,0:28,http://ufcstats.com/fight-details/9ef858837dfc65eb,http://ufcstats.com/event-details/a1153013cb5f628f
Clay Guida,Michael Johnson,win,Lightweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/f4fbb11055301e75,http://ufcstats.com/event-details/a1153013cb5f628f
Alexandre Pantoja,Manel Kape,win,Flyweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/2c81668d1459991f,http://ufcstats.com/event-details/a1153013cb5f628f
Beneil Dariush,Diego Ferreira,win,Lightweight,S-DEC,3,5:00,http://ufcstats.com/fight-details/bbade63ca780668f,http://ufcstats.com/event-details/a1153013cb5f628f
Danilo Marques,Mike Rodriguez,win,Light Heavyweight,SUB Rear Naked Choke,2,4:52,http://ufcstats.com/fight-details/af8ea6db042674ef,http://ufcstats.com/event-details/a1153013cb5f628f
Devonte Smith,Justin Jaynes,win,Catch Weight,KO/TKO,2,3:38,http://ufcstats.com/fight-details/464cc19d42446da9,http://ufcstats.com/event-details/a1153013cb5f628f
Karol Rosa,Joselyne Edwards,win,Women's Bantamweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/8c34e1e0d842618d,http://ufcstats.com/event-details/a1153013cb5f628f
Lara Procopio,Molly McCann,win,Women's Flyweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/d65da3a3bc675449,http://ufcstats.com/event-details/a1153013cb5f628f
SeungWoo Choi,Youssef Zalal,win,Featherweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/86d6e09932c5b551,http://ufcstats.com/event-details/a1153013cb5f628f
Timur Valiev,Martin Day,win,Featherweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/eb4e9ec015533ab4,http://ufcstats.com/event-details/a1153013cb5f628f
Ode Osbourne,Jerome Rivera,win,Featherweight,KO/TKO Punch,1,0:26,http://ufcstats.com/fight-details/3ac61bcb406e1a0c,http://ufcstats.com/event-details/a1153013cb5f628f
Dustin Poirier,Conor McGregor,win,Lightweight,KO/TKO Punches,2,2:32,http://ufcstats.com/fight-details/3d3e7dc7b4bf2bc4,http://ufcstats.com/event-details/4304992c2acc187b
Michael Chandler,Dan Hooker,win,Lightweight,KO/TKO Punch,1,2:30,http://ufcstats.com/fight-details/a5075f4eaee6036f,http://ufcstats.com/event-details/4304992c2acc187b
Joanne Wood,Jessica Eye,win,Women's Flyweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/c4ea3f6fae702459,http://ufcstats.com/event-details/4304992c2acc187b
Makhmud Muradov,Andrew Sanchez,win,Middleweight,KO/TKO Punches,3,2:59,http://ufcstats.com/fight-details/65352221c0bfe52d,http://ufcstats.com/event-details/4304992c2acc187b
Marina Rodriguez,Amanda Ribas,win,Women's Strawweight,KO/TKO Punch,2,0:54,http://ufcstats.com/fight-details/cd08b68f0bafafbf,http://ufcstats.com/event-details/4304992c2acc187b
Arman Tsarukyan,Matt Frevola,win,Lightweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/99dbe9669f31ed91,http://ufcstats.com/event-details/4304992c2acc187b
Brad Tavares,Antonio Carlos Junior,win,Middleweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/92f569a6d9374b86,http://ufcstats.com/event-details/4304992c2acc187b
Julianna Pena,Sara McMann,win,Women's Bantamweight,SUB Rear Naked Choke,3,3:39,http://ufcstats.com/fight-details/83da743f6dda7dcc,http://ufcstats.com/event-details/4304992c2acc187b
Marcin Prachnio,Khalil Rountree Jr.,win,Light Heavyweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/c597fd8bb66d54d8,http://ufcstats.com/event-details/4304992c2acc187b
Movsar Evloev,Nik Lentz,win,Catch Weight,S-DEC,3,5:00,http://ufcstats.com/fight-details/f3ccbfd7036f3cf3,http://ufcstats.com/event-details/4304992c2acc187b
Amir Albazi,Zhalgas Zhumagulov,win,Flyweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/aaf45b095452be23,http://ufcstats.com/event-details/4304992c2acc187b
Michael Chiesa,Neil Magny,win,Welterweight,U-DEC,5,5:00,http://ufcstats.com/fight-details/61bedad39b15db7a,http://ufcstats.com/event-details/56116537d71a578c
Warlley Alves,Mounir Lazzez,win,Welterweight,KO/TKO Kick,1,2:35,http://ufcstats.com/fight-details/dd34dd337e637767,http://ufcstats.com/event-details/56116537d71a578c
Ike Villanueva,Vinicius Moreira,win,Light Heavyweight,KO/TKO Punch,2,0:39,http://ufcstats.com/fight-details/4f6d3cdf2c77fb57,http://ufcstats.com/event-details/56116537d71a578c
Viviane Araujo,Roxanne Modafferi,win,Women's Flyweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/a003e8305d4dbdc8,http://ufcstats.com/event-details/56116537d71a578c
Matt Schnell,Tyson Nam,win,Flyweight,S-DEC,3,5:00,http://ufcstats.com/fight-details/57e784028ef2c17d,http://ufcstats.com/event-details/56116537d71a578c
Lerone Murphy,Douglas Silva de Andrade,win,Featherweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/d27ac1bc677b89cf,http://ufcstats.com/event-details/56116537d71a578c
Omari Akhmedov,Tom Breese,win,Middleweight,SUB Arm Triangle,2,1:41,http://ufcstats.com/fight-details/ac475de5a3d0d7e2,http://ufcstats.com/event-details/56116537d71a578c
Ricky Simon,Gaetano Pirrello,win,Bantamweight,SUB Arm Triangle,2,4:00,http://ufcstats.com/fight-details/4abcf14faa7f92f2,http://ufcstats.com/event-details/56116537d71a578c
Sumudaerji,Zarrukh Adashev,win,Flyweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/ddbe6fd66d7f9e35,http://ufcstats.com/event-details/56116537d71a578c
Dalcha Lungiambula,Markus Perez,win,Middleweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/76b61ff4c9760f79,http://ufcstats.com/event-details/56116537d71a578c
Francisco Figueiredo,Jerome Rivera,win,Flyweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/4e451881e0e47b05,http://ufcstats.com/event-details/56116537d71a578c
Mike Davis,Mason Jones,win,Lightweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/031e6624f96aceb8,http://ufcstats.com/event-details/56116537d71a578c
Umar Nurmagomedov,Sergey Morozov,win,Bantamweight,SUB Rear Naked Choke,2,3:39,http://ufcstats.com/fight-details/11558384f80f6506,http://ufcstats.com/event-details/56116537d71a578c
Manon Fiorot,Victoria Leonardo,win,Women's Flyweight,KO/TKO Punches,2,4:08,http://ufcstats.com/fight-details/ae38fb2a6b6a0cc1,http://ufcstats.com/event-details/56116537d71a578c
Max Holloway,Calvin Kattar,win,Featherweight,U-DEC,5,5:00,http://ufcstats.com/fight-details/a4817b7e46028b4a,http://ufcstats.com/event-details/307064d3e0f036c2
Carlos Condit,Matt Brown,win,Welterweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/6b0da0b1cda7799f,http://ufcstats.com/event-details/307064d3e0f036c2
Li Jingliang,Santiago Ponzinibbio,win,Welterweight,KO/TKO Punch,1,4:25,http://ufcstats.com/fight-details/aeb7ff8ce6e1beac,http://ufcstats.com/event-details/307064d3e0f036c2
Alessio Di Chirico,Joaquin Buckley,win,Middleweight,KO/TKO Kick,1,2:12,http://ufcstats.com/fight-details/775c1f401815bbd8,http://ufcstats.com/event-details/307064d3e0f036c2
Punahele Soriano,Dusko Todorovic,win,Middleweight,KO/TKO Punch,1,4:48,http://ufcstats.com/fight-details/358f816aff469270,http://ufcstats.com/event-details/307064d3e0f036c2
Joselyne Edwards,Wu Yanan,win,Women's Bantamweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/97ad63e644757cf4,http://ufcstats.com/event-details/307064d3e0f036c2
Carlos Felipe,Justin Tafa,win,Heavyweight,S-DEC,3,5:00,http://ufcstats.com/fight-details/0165bd3c26f0c076,http://ufcstats.com/event-details/307064d3e0f036c2
Ramazan Emeev,David Zawada,win,Welterweight,S-DEC,3,5:00,http://ufcstats.com/fight-details/3fcd53eb27945231,http://ufcstats.com/event-details/307064d3e0f036c2
Vanessa Melo,Sarah Moras,win,Women's Bantamweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/97c80f69ac312030,http://ufcstats.com/event-details/307064d3e0f036c2
Austin Lingo,Jacob Kilburn,win,Featherweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/3d903bc35023f50a,http://ufcstats.com/event-details/307064d3e0f036c2
Stephen Thompson,Geoff Neal,win,Welterweight,U-DEC,5,5:00,http://ufcstats.com/fight-details/c7375d5db21cbaae,http://ufcstats.com/event-details/e49c2db95e572dc8
Jose Aldo,Marlon Vera,win,Bantamweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/014f1da2083ca174,http://ufcstats.com/event-details/e49c2db95e572dc8
Michel Pereira,Khaos Williams,win,Welterweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/3d35eb2d46bf74de,http://ufcstats.com/event-details/e49c2db95e572dc8
Rob Font,Marlon Moraes,win,Bantamweight,KO/TKO Punches,1,3:47,http://ufcstats.com/fight-details/8955ea3c7c332e6c,http://ufcstats.com/event-details/e49c2db95e572dc8
Marcin Tybura,Greg Hardy,win,Heavyweight,KO/TKO Punches,2,4:31,http://ufcstats.com/fight-details/cd150cd28738a7c5,http://ufcstats.com/event-details/e49c2db95e572dc8
Anthony Pettis,Alex Morono,win,Welterweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/1c4602efe5587902,http://ufcstats.com/event-details/e49c2db95e572dc8
Pannie Kianzad,Sijara Eubanks,win,Women's Bantamweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/4cb249714ff56656,http://ufcstats.com/event-details/e49c2db95e572dc8
Deron Winn,Antonio Arroyo,win,Catch Weight,U-DEC,3,5:00,http://ufcstats.com/fight-details/f004d3d50b78af50,http://ufcstats.com/event-details/e49c2db95e572dc8
Taila Santos,Gillian Robertson,win,Women's Flyweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/f2fb049980631302,http://ufcstats.com/event-details/e49c2db95e572dc8
Tafon Nchukwi,Jamie Pickett,win,Middleweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/0fe4906754b2d0f9,http://ufcstats.com/event-details/e49c2db95e572dc8
Jimmy Flick,Cody Durden,win,Flyweight,SUB Triangle Choke,1,3:18,http://ufcstats.com/fight-details/62e6eadbb2805760,http://ufcstats.com/event-details/e49c2db95e572dc8
Christos Giagos,Carlton Minus,win,Catch Weight,U-DEC,3,5:00,http://ufcstats.com/fight-details/8da75fd76a9b8e1d,http://ufcstats.com/event-details/e49c2db95e572dc8
Deiveson Figueiredo,Brandon Moreno,"draw


draw",Flyweight,M-DEC,5,5:00,http://ufcstats.com/fight-details/c258996570faeec9,http://ufcstats.com/event-details/d0d43cb9b14f231c
Charles Oliveira,Tony Ferguson,win,Lightweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/b7b867eb3c3cf163,http://ufcstats.com/event-details/d0d43cb9b14f231c
Mackenzie Dern,Virna Jandiroba,win,Women's Strawweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/27200d53ba9020b8,http://ufcstats.com/event-details/d0d43cb9b14f231c
Kevin Holland,Jacare Souza,win,Middleweight,KO/TKO Punch,1,1:45,http://ufcstats.com/fight-details/4a172a5191cb8e60,http://ufcstats.com/event-details/d0d43cb9b14f231c
Ciryl Gane,Junior Dos Santos,win,Heavyweight,KO/TKO Elbow,2,2:34,http://ufcstats.com/fight-details/fe3ff5b1d9135add,http://ufcstats.com/event-details/d0d43cb9b14f231c
Cub Swanson,Daniel Pineda,win,Featherweight,KO/TKO Punch,2,1:52,http://ufcstats.com/fight-details/022bdd58cc6e571d,http://ufcstats.com/event-details/d0d43cb9b14f231c
Rafael Fiziev,Renato Moicano,win,Lightweight,KO/TKO Punch,1,4:05,http://ufcstats.com/fight-details/cb7616f92a9a4e5b,http://ufcstats.com/event-details/d0d43cb9b14f231c
Gavin Tucker,Billy Quarantillo,win,Featherweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/87d0b767742d3239,http://ufcstats.com/event-details/d0d43cb9b14f231c
Tecia Pennington,Sam Hughes,win,Women's Strawweight,KO/TKO,1,5:00,http://ufcstats.com/fight-details/5ddf45e816a50fac,http://ufcstats.com/event-details/d0d43cb9b14f231c
Chase Hooper,Peter Barrett,win,Featherweight,SUB Heel Hook,3,3:02,http://ufcstats.com/fight-details/33d52ac2d70b8415,http://ufcstats.com/event-details/d0d43cb9b14f231c
Marvin Vettori,Jack Hermansson,win,Middleweight,U-DEC,5,5:00,http://ufcstats.com/fight-details/2723f4d275d3f619,http://ufcstats.com/event-details/398b440e73d55b8b
Jamahal Hill,Ovince Saint Preux,win,Light Heavyweight,KO/TKO Punches,2,3:37,http://ufcstats.com/fight-details/8d4a475e48722fea,http://ufcstats.com/event-details/398b440e73d55b8b
Gabriel Benitez,Justin Jaynes,win,Lightweight,KO/TKO Knee,1,4:06,http://ufcstats.com/fight-details/46860358da8b8d82,http://ufcstats.com/event-details/398b440e73d55b8b
Roman Dolidze,John Allan,win,Light Heavyweight,S-DEC,3,5:00,http://ufcstats.com/fight-details/4478ee77a647ae9d,http://ufcstats.com/event-details/398b440e73d55b8b
Jordan Leavitt,Matt Wiman,win,Lightweight,KO/TKO Slam,1,0:22,http://ufcstats.com/fight-details/856fab879c68ded7,http://ufcstats.com/event-details/398b440e73d55b8b
Louis Smolka,Jose Quinonez,win,Bantamweight,KO/TKO Punches,2,2:15,http://ufcstats.com/fight-details/771d8ce136a12a13,http://ufcstats.com/event-details/398b440e73d55b8b
Ilia Topuria,Damon Jackson,win,Featherweight,KO/TKO Punch,1,2:38,http://ufcstats.com/fight-details/b1be8b41b1a4fd85,http://ufcstats.com/event-details/398b440e73d55b8b
Jake Collier,Gian Villante,win,Heavyweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/c4d1c4b82cf34afb,http://ufcstats.com/event-details/398b440e73d55b8b
Anthony Smith,Devin Clark,win,Light Heavyweight,SUB Triangle Choke,1,2:34,http://ufcstats.com/fight-details/09a29fb09fe07559,http://ufcstats.com/event-details/992c82450d96f726
Miguel Baeza,Takashi Sato,win,Welterweight,SUB Arm Triangle,2,4:28,http://ufcstats.com/fight-details/28b6ee9c3eb8b753,http://ufcstats.com/event-details/992c82450d96f726
Parker Porter,Josh Parisian,win,Heavyweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/32a7da2f34ae3803,http://ufcstats.com/event-details/992c82450d96f726
Bill Algeo,Spike Carlyle,win,Featherweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/181c3312f14de5a8,http://ufcstats.com/event-details/992c82450d96f726
Norma Dumont,Ashlee Evans-Smith,win,Women's Bantamweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/2a7909acde26a240,http://ufcstats.com/event-details/992c82450d96f726
Jonathan Pearce,Kai Kamaka,win,Featherweight,KO/TKO Punches,2,4:28,http://ufcstats.com/fight-details/4d56bcd82438e632,http://ufcstats.com/event-details/992c82450d96f726
Anderson Dos Santos,Martin Day,win,Bantamweight,SUB Guillotine Choke,1,4:35,http://ufcstats.com/fight-details/0c27552ea7bc8c8a,http://ufcstats.com/event-details/992c82450d96f726
Gina Mazany,Rachael Ostovich,win,Women's Flyweight,KO/TKO Kick,3,4:10,http://ufcstats.com/fight-details/711f00d287344c77,http://ufcstats.com/event-details/992c82450d96f726
Sumudaerji,Malcolm Gordon,win,Flyweight,KO/TKO Punches,1,0:44,http://ufcstats.com/fight-details/8868957c1735bcf0,http://ufcstats.com/event-details/992c82450d96f726
Nate Maness,Luke Sanders,win,Catch Weight,SUB Rear Naked Choke,2,2:29,http://ufcstats.com/fight-details/e64d80dcc6853ea0,http://ufcstats.com/event-details/992c82450d96f726
Deiveson Figueiredo,Alex Perez,win,Flyweight,SUB Guillotine Choke,1,1:57,http://ufcstats.com/fight-details/3c098e2946b4c824,http://ufcstats.com/event-details/bbb15f301e4a490a
Valentina Shevchenko,Jennifer Maia,win,Women's Flyweight,U-DEC,5,5:00,http://ufcstats.com/fight-details/c93eebe24aa0299d,http://ufcstats.com/event-details/bbb15f301e4a490a
Tim Means,Mike Perry,win,Welterweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/2b13651b97f57b6c,http://ufcstats.com/event-details/bbb15f301e4a490a
Katlyn Cerminara,Cynthia Calvillo,win,Women's Flyweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/08ef2ed7393efd24,http://ufcstats.com/event-details/bbb15f301e4a490a
Paul Craig,Mauricio Rua,win,Light Heavyweight,KO/TKO Punches,2,3:36,http://ufcstats.com/fight-details/1671723154d8e324,http://ufcstats.com/event-details/bbb15f301e4a490a
Brandon Moreno,Brandon Royval,win,Flyweight,KO/TKO Punches,1,4:59,http://ufcstats.com/fight-details/8d5ea3bf3be7cb91,http://ufcstats.com/event-details/bbb15f301e4a490a
Joaquin Buckley,Jordan Wright,win,Middleweight,KO/TKO Punches,2,0:18,http://ufcstats.com/fight-details/6c1b38dd918793ff,http://ufcstats.com/event-details/bbb15f301e4a490a
Antonina Shevchenko,Ariane da Silva,win,Women's Flyweight,KO/TKO Punches,2,4:33,http://ufcstats.com/fight-details/a485281be8e9d2e2,http://ufcstats.com/event-details/bbb15f301e4a490a
Nicolas Dalby,Daniel Rodriguez,win,Welterweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/e22d5aab3d099c7c,http://ufcstats.com/event-details/bbb15f301e4a490a
Alan Jouban,Jared Gooden,win,Welterweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/a02764f92a84dd36,http://ufcstats.com/event-details/bbb15f301e4a490a
Kyle Daukaus,Dustin Stoltzfus,win,Middleweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/90eb22b9eb6ed2a8,http://ufcstats.com/event-details/bbb15f301e4a490a
Sasha Palatnikov,Louis Cosce,win,Welterweight,KO/TKO Punches,3,2:47,http://ufcstats.com/fight-details/91afc389191d41fb,http://ufcstats.com/event-details/bbb15f301e4a490a
